method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
scan,negsparse_q0117_m150k,negsparse,150000,32768,1,0.6000,0.0000,0.00004,34.998,34.998,34.998,0.641,14.178,9.433,10.745,9.16,4096.0,2100.0
scan,negsparse_q0117_m300k,negsparse,300000,4096,1,0.4000,0.0000,0.00006,45.812,45.812,45.812,1.473,25.051,1.518,17.770,18.31,512.0,2100.0
scan,negsparse_q0117_m300k,negsparse,300000,32768,1,0.5000,0.0000,0.00003,48.263,48.263,48.263,1.433,26.726,9.535,10.570,18.31,4096.0,2100.0
scan,negsparse_q0117_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00005,145.447,145.447,145.447,10.841,115.066,1.726,17.814,61.04,512.0,2100.0
scan,negsparse_q0117_m1m,negsparse,1000000,32768,1,0.2000,0.0000,0.00005,150.905,150.905,150.905,10.723,116.203,11.809,12.170,61.04,4096.0,2100.0
scan,negsparse_q0117_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00009,224.766,224.766,224.766,16.477,191.854,1.890,14.544,122.07,512.0,2100.0
scan,negsparse_q0117_m2m,negsparse,2000000,32768,1,0.3000,0.0000,0.00004,239.649,239.649,239.649,16.804,192.926,13.150,16.769,122.07,4096.0,2100.0
scan,negsparse_q0117_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00004,284.047,284.047,284.047,28.460,230.108,2.269,23.210,244.14,512.0,2100.0
scan,negsparse_q0117_m4m,negsparse,4000000,32768,1,0.2000,0.0000,0.00002,269.196,269.196,269.196,29.379,218.390,11.716,9.710,244.14,4096.0,2100.0
scan,negsparse_q0126_m50k,negsparse,50000,4096,1,1.0000,1.0000,0.00000,31.649,31.649,31.649,0.213,5.207,1.255,24.974,3.05,512.0,2100.0
scan,negsparse_q0126_m50k,negsparse,50000,32768,1,1.0000,1.0000,0.00000,24.221,24.221,24.221,0.221,6.950,9.629,7.420,3.05,4096.0,2100.0
scan,negsparse_q0126_m150k,negsparse,150000,4096,1,0.5000,0.0000,0.00007,39.372,39.372,39.372,0.642,13.081,1.455,24.195,9.16,512.0,2100.0
scan,negsparse_q0126_m150k,negsparse,150000,32768,1,0.6000,0.0000,0.00003,34.986,34.986,34.986,0.645,15.925,9.383,9.033,9.16,4096.0,2100.0
scan,negsparse_q0126_m300k,negsparse,300000,4096,1,0.2000,0.0000,0.00012,45.238,45.238,45.238,1.469,25.398,1.416,16.956,18.31,512.0,2100.0
scan,negsparse_q0126_m300k,negsparse,300000,32768,1,0.5000,0.0000,0.00007,47.543,47.543,47.543,1.474,27.179,10.356,8.533,18.31,4096.0,2100.0
scan,negsparse_q0126_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00005,144.671,144.671,144.671,10.897,115.154,1.865,16.754,61.04,512.0,2100.0
scan,negsparse_q0126_m1m,negsparse,1000000,32768,1,0.1000,0.0000,0.00006,150.729,150.729,150.729,11.000,116.545,12.002,11.182,61.04,4096.0,2100.0
scan,negsparse_q0126_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00008,230.171,230.171,230.171,17.154,192.945,1.901,18.171,122.07,512.0,2100.0
scan,negsparse_q0126_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00009,270.263,270.263,270.263,16.928,191.981,12.202,49.152,122.07,4096.0,2100.0
scan,negsparse_q0126_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00007,260.104,260.104,260.104,28.172,215.315,1.848,14.769,244.14,512.0,2100.0
scan,negsparse_q0126_m4m,negsparse,4000000,32768,1,0.1000,0.0000,0.00008,269.320,269.320,269.320,28.387,215.231,12.313,13.389,244.14,4096.0,2100.0
scan,negsparse_q0139_m50k,negsparse,50000,4096,1,0.8000,0.0000,0.00011,47.754,47.754,47.754,0.220,5.457,1.526,40.551,3.05,512.0,2100.0
scan,negsparse_q0139_m50k,negsparse,50000,32768,1,0.9000,0.0000,0.00003,20.139,20.139,20.139,0.222,7.154,8.681,4.081,3.05,4096.0,2100.0
scan,negsparse_q0139_m150k,negsparse,150000,4096,1,0.5000,0.0000,0.00005,41.911,41.911,41.911,0.627,12.867,1.228,27.189,9.16,512.0,2100.0
scan,negsparse_q0139_m150k,negsparse,150000,32768,1,0.7000,0.0000,0.00003,34.093,34.093,34.093,0.645,15.280,9.031,9.137,9.16,4096.0,2100.0
scan,negsparse_q0139_m300k,negsparse,300000,4096,1,0.1000,0.0000,0.00007,51.675,51.675,51.675,1.469,25.055,1.366,23.786,18.31,512.0,2100.0
scan,negsparse_q0139_m300k,negsparse,300000,32768,1,0.4000,0.0000,0.00004,50.611,50.611,50.611,1.488,28.139,11.055,9.928,18.31,4096.0,2100.0
scan,negsparse_q0139_m1m,negsparse,1000000,4096,1,0.0000,0.0000,0.00005,152.631,152.631,152.631,10.634,115.362,1.764,24.872,61.04,512.0,2100.0
scan,negsparse_q0139_m1m,negsparse,1000000,32768,1,0.0000,0.0000,0.00006,147.163,147.163,147.163,10.876,115.868,11.646,8.773,61.04,4096.0,2100.0
scan,negsparse_q0139_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00006,227.866,227.866,227.866,16.493,191.905,1.794,17.675,122.07,512.0,2100.0
scan,negsparse_q0139_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00006,229.408,229.408,229.408,16.789,191.465,11.677,9.476,122.07,4096.0,2100.0
