filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0681_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00006,333.979,333.979,333.979,62.688,230.152,1.982,39.157,604.25,512.0,2100.0
anticorr_q0681_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,334.356,334.356,334.356,62.229,231.686,12.343,28.098,604.25,4096.0,2100.0
anticorr_q0681_tau0.01,anticorr,9900094,4096,1,0.5000,0.0000,0.00300,337.453,337.453,337.453,62.647,228.195,1.876,44.735,604.25,512.0,2100.0
anticorr_q0681_tau0.01,anticorr,9900094,32768,1,1.0000,1.0000,0.00000,324.179,324.179,324.179,63.929,230.772,12.297,17.180,604.25,4096.0,2100.0
anticorr_q0681_tau0.03,anticorr,9899861,4096,1,1.0000,1.0000,0.00000,324.322,324.322,324.322,63.629,230.380,1.860,28.454,604.24,512.0,2100.0
anticorr_q0681_tau0.03,anticorr,9899861,32768,1,1.0000,1.0000,0.00000,315.836,315.836,315.836,63.516,230.162,12.525,9.633,604.24,4096.0,2100.0
anticorr_q0690_tau0,anticorr,9900001,4096,1,0.0000,0.0000,0.00003,334.250,334.250,334.250,62.632,228.848,2.003,40.767,604.25,512.0,2100.0
anticorr_q0690_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00004,336.625,336.625,336.625,63.764,231.237,11.873,29.751,604.25,4096.0,2100.0
anticorr_q0690_tau0.01,anticorr,9899876,4096,1,0.8000,0.0000,0.00187,333.453,333.453,333.453,62.822,228.910,1.909,39.812,604.24,512.0,2100.0
anticorr_q0690_tau0.01,anticorr,9899876,32768,1,1.0000,1.0000,0.00000,328.109,328.109,328.109,63.415,230.433,12.141,22.120,604.24,4096.0,2100.0
anticorr_q0690_tau0.03,anticorr,9899901,4096,1,1.0000,1.0000,0.00000,328.999,328.999,328.999,61.985,234.670,1.683,30.661,604.24,512.0,2100.0
anticorr_q0690_tau0.03,anticorr,9899901,32768,1,1.0000,1.0000,0.00000,313.125,313.125,313.125,62.624,230.372,12.359,7.770,604.24,4096.0,2100.0
anticorr_q0695_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00001,330.945,330.945,330.945,62.426,227.973,1.941,38.604,604.25,512.0,2100.0
anticorr_q0695_tau0,anticorr,9900000,32768,1,0.2000,0.0000,0.00001,332.282,332.282,332.282,62.588,231.367,12.006,26.320,604.25,4096.0,2100.0
anticorr_q0695_tau0.01,anticorr,9899936,4096,1,1.0000,1.0000,0.00000,321.139,321.139,321.139,61.414,229.684,1.894,28.147,604.24,512.0,2100.0
anticorr_q0695_tau0.01,anticorr,9899936,32768,1,1.0000,1.0000,0.00000,319.259,319.259,319.259,64.753,232.319,11.737,10.451,604.24,4096.0,2100.0
anticorr_q0695_tau0.03,anticorr,9899734,4096,1,1.0000,1.0000,0.00000,319.603,319.603,319.603,62.121,227.286,1.831,28.365,604.23,512.0,2100.0
anticorr_q0695_tau0.03,anticorr,9899734,32768,1,1.0000,1.0000,0.00000,311.372,311.372,311.372,63.029,230.466,13.414,4.464,604.23,4096.0,2100.0
anticorr_q0698_tau0,anticorr,9900001,4096,1,0.0000,0.0000,0.00004,331.476,331.476,331.476,61.794,230.986,2.019,36.678,604.25,512.0,2100.0
