filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0450_tau0.03,anticorr,9899478,1,1.0000,1.0000,299.332,299.332,299.332,63.467,230.455,1.980,3.430,604.22,512.0,2100.0
anticorr_q0455_tau0,anticorr,9900000,1,0.0000,0.0000,322.006,322.006,322.006,63.911,228.934,1.924,27.236,604.25,512.0,2100.0
anticorr_q0455_tau0.01,anticorr,9900370,1,0.8000,0.0000,310.650,310.650,310.650,63.777,228.645,1.953,16.276,604.27,512.0,2100.0
anticorr_q0455_tau0.03,anticorr,9899873,1,1.0000,1.0000,295.052,295.052,295.052,61.946,228.752,1.662,2.691,604.24,512.0,2100.0
anticorr_q0460_tau0,anticorr,9900000,1,0.0000,0.0000,313.128,313.128,313.128,63.363,229.268,2.139,18.358,604.25,512.0,2100.0
anticorr_q0460_tau0.01,anticorr,9900256,1,0.7000,0.0000,308.229,308.229,308.229,63.245,231.045,1.862,12.077,604.26,512.0,2100.0
anticorr_q0460_tau0.03,anticorr,9900503,1,1.0000,1.0000,298.170,298.170,298.170,63.645,229.359,1.775,3.391,604.28,512.0,2100.0
anticorr_q0464_tau0,anticorr,9900000,1,0.0000,0.0000,315.672,315.672,315.672,62.641,229.458,1.940,21.633,604.25,512.0,2100.0
anticorr_q0464_tau0.01,anticorr,9900480,1,0.9000,0.0000,310.710,310.710,310.710,63.544,230.907,1.881,14.378,604.28,512.0,2100.0
anticorr_q0464_tau0.03,anticorr,9899875,1,1.0000,1.0000,300.008,300.008,300.008,64.404,230.142,1.735,3.727,604.24,512.0,2100.0
anticorr_q0470_tau0,anticorr,9900000,1,0.0000,0.0000,313.051,313.051,313.051,62.033,229.879,1.876,19.263,604.25,512.0,2100.0
anticorr_q0470_tau0.01,anticorr,9899943,1,0.7000,0.0000,307.318,307.318,307.318,61.837,230.011,1.889,13.581,604.24,512.0,2100.0
anticorr_q0470_tau0.03,anticorr,9899584,1,1.0000,1.0000,297.958,297.958,297.958,62.683,230.865,1.843,2.567,604.22,512.0,2100.0
anticorr_q0475_tau0,anticorr,9900000,1,0.0000,0.0000,319.012,319.012,319.012,63.180,231.826,1.844,22.162,604.25,512.0,2100.0
anticorr_q0475_tau0.01,anticorr,9899930,1,1.0000,1.0000,316.207,316.207,316.207,63.572,228.632,1.843,22.160,604.24,512.0,2100.0
anticorr_q0475_tau0.03,anticorr,9900115,1,1.0000,1.0000,296.645,296.645,296.645,62.939,228.747,1.493,3.466,604.26,512.0,2100.0
anticorr_q0479_tau0,anticorr,9900000,1,0.0000,0.0000,310.876,310.876,310.876,62.543,229.179,1.986,17.169,604.25,512.0,2100.0
anticorr_q0479_tau0.01,anticorr,9900207,1,0.6000,0.0000,306.559,306.559,306.559,63.025,230.251,1.992,11.292,604.26,512.0,2100.0
anticorr_q0479_tau0.03,anticorr,9899501,1,1.0000,1.0000,298.042,298.042,298.042,62.914,230.293,1.890,2.945,604.22,512.0,2100.0
anticorr_q0506_tau0,anticorr,9900000,1,0.0000,0.0000,322.308,322.308,322.308,63.126,228.702,1.896,28.584,604.25,512.0,2100.0
anticorr_q0506_tau0.01,anticorr,9899733,1,0.8000,0.0000,314.878,314.878,314.878,62.619,228.419,1.939,21.900,604.23,512.0,2100.0
